model,likes,downloads,tags
various-2bit-sota-gguf,79,383,"gguf, license:apache-2.0, endpoints_compatible, region:us"
Gemma-2-9B-Chinese-Chat,79,2362,"transformers, safetensors, gguf, gemma2, text-generation, llama-factory, orpo, conversational, en, zh, arxiv:2403.07691, base_model:google/gemma-2-9b-it, base_model:quantized:google/gemma-2-9b-it, doi:10.57967/hf/2667, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
OuteTTS-0.2-500M-GGUF,79,2490,"gguf, text-to-speech, en, zh, ja, ko, dataset:facebook/multilingual_librispeech, dataset:parler-tts/libritts_r_filtered, dataset:amphion/Emilia-Dataset, dataset:parler-tts/mls_eng, license:cc-by-nc-4.0, endpoints_compatible, region:us"
gemma-3-12b-it-GGUF,79,53753,"transformers, gguf, gemma3, image-text-to-text, unsloth, gemma, google, en, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-12b-it, base_model:quantized:google/gemma-3-12b-it, license:gemma, endpoints_compatible, region:us, conversational"
OpenHermes-2-Mistral-7B-GGUF,78,3104,"transformers, gguf, mistral, instruct, finetune, chatml, gpt4, synthetic data, distillation, en, base_model:teknium/OpenHermes-2-Mistral-7B, base_model:quantized:teknium/OpenHermes-2-Mistral-7B, license:apache-2.0, region:us"
internlm2_5-7b-chat-gguf,78,351,"gguf, chat, text-generation, en, license:apache-2.0, endpoints_compatible, region:us, conversational"
Gemma-The-Writer-N-Restless-Quill-10B-Uncensored-GGUF,78,20098,"gguf, creative, creative writing, fiction writing, plot generation, sub-plot generation, story generation, scene continue, gemma2, storytelling, fiction story, science fiction, romance, all genres, uncensored, story, writing, vivid prosing, vivid writing, fiction, roleplaying, bfloat16, swearing, rp, horror, gemma, mergekit, text-generation, en, arxiv:2401.02415, base_model:DavidAU/Gemma-The-Writer-N-Restless-Quill-10B-Uncensored, base_model:quantized:DavidAU/Gemma-The-Writer-N-Restless-Quill-10B-Uncensored, license:apache-2.0, endpoints_compatible, region:us, conversational"
DeepSeek-R1-Distill-Qwen-14B-GGUF,78,22573,"transformers, gguf, deepseek, qwen, qwen2, unsloth, en, arxiv:2501.12948, base_model:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B, base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B, license:apache-2.0, endpoints_compatible, region:us, conversational"
deepseek-r1-qwen-2.5-32B-ablated-GGUF,78,4567,"gguf, ablated, ablation, abliterated, uncensored, nani, reasoning, qwen, deepseek, text-generation, base_model:NaniDAO/deepseek-r1-qwen-2.5-32B-ablated, base_model:quantized:NaniDAO/deepseek-r1-qwen-2.5-32B-ablated, license:mit, endpoints_compatible, region:us, imatrix, conversational"
Wizard-Vicuna-13B-Uncensored-GGUF,77,9358,"transformers, gguf, llama, uncensored, en, dataset:ehartford/wizard_vicuna_70k_unfiltered, base_model:cognitivecomputations/Wizard-Vicuna-13B-Uncensored, base_model:quantized:cognitivecomputations/Wizard-Vicuna-13B-Uncensored, license:other, region:us"
Yi-34B-GGUF,77,708,"transformers, gguf, yi, base_model:01-ai/Yi-34B, base_model:quantized:01-ai/Yi-34B, license:other, region:us"
dolphin-2.6-mistral-7B-GGUF,77,8076,"transformers, gguf, mistral, en, dataset:ehartford/dolphin, dataset:jondurbin/airoboros-2.2.1, dataset:ehartford/dolphin-coder, dataset:teknium/openhermes, dataset:ise-uiuc/Magicoder-OSS-Instruct-75K, dataset:ise-uiuc/Magicoder-Evol-Instruct-110K, dataset:LDJnr/Capybara, base_model:cognitivecomputations/dolphin-2.6-mistral-7b, base_model:quantized:cognitivecomputations/dolphin-2.6-mistral-7b, license:apache-2.0, region:us"
mmproj,77,8473,"gguf, region:us"
Dolphin3.0-Llama3.1-8B-GGUF,77,28464,"gguf, en, dataset:OpenCoder-LLM/opc-sft-stage1, dataset:OpenCoder-LLM/opc-sft-stage2, dataset:microsoft/orca-agentinstruct-1M-v1, dataset:microsoft/orca-math-word-problems-200k, dataset:NousResearch/hermes-function-calling-v1, dataset:AI-MO/NuminaMath-CoT, dataset:AI-MO/NuminaMath-TIR, dataset:allenai/tulu-3-sft-mixture, dataset:cognitivecomputations/dolphin-coder, dataset:HuggingFaceTB/smoltalk, dataset:cognitivecomputations/samantha-data, dataset:m-a-p/CodeFeedback-Filtered-Instruction, dataset:m-a-p/Code-Feedback, base_model:meta-llama/Llama-3.1-8B, base_model:quantized:meta-llama/Llama-3.1-8B, license:llama3.1, endpoints_compatible, region:us, conversational"
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,77,16102,"gguf, text-generation, base_model:deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B, base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B, endpoints_compatible, region:us, imatrix, conversational"
Magicoder-S-DS-6.7B-GGUF,76,1018,"transformers, gguf, deepseek, text-generation, dataset:ise-uiuc/Magicoder-OSS-Instruct-75K, dataset:ise-uiuc/Magicoder-Evol-Instruct-110K, arxiv:2312.02120, arxiv:2305.06161, base_model:ise-uiuc/Magicoder-S-DS-6.7B, base_model:quantized:ise-uiuc/Magicoder-S-DS-6.7B, license:other, region:us"
Mistral-Small-3.1-24B-Instruct-2503-GGUF,76,43158,"vllm, gguf, mistral3, en, fr, de, es, pt, it, ja, ko, ru, zh, ar, fa, id, ms, ne, pl, ro, sr, sv, tr, uk, vi, hi, bn, base_model:mistralai/Mistral-Small-3.1-24B-Instruct-2503, base_model:quantized:mistralai/Mistral-Small-3.1-24B-Instruct-2503, license:apache-2.0, region:us, conversational"
ggml_bakllava-1,75,861,"gguf, llava, bakllava, lmm, ggml, llama.cpp, endpoints_compatible, region:us"
openchat-3.5-0106-GGUF,75,3019,"transformers, gguf, mistral, openchat, C-RLFT, text-generation, arxiv:2309.11235, arxiv:2303.08774, base_model:openchat/openchat-3.5-0106, base_model:quantized:openchat/openchat-3.5-0106, license:apache-2.0, region:us, conversational"
llava-1.6-gguf,75,1605,"transformers, gguf, image-text-to-text, license:apache-2.0, endpoints_compatible, region:us, conversational"
gemma-2b-it-GGUF,74,2632,"gguf, license:other, endpoints_compatible, region:us"
Mixtral-8x22B-v0.1-GGUF,74,208898,"transformers, gguf, mixtral, text-generation, quantized, 2-bit, 3-bit, 4-bit, 5-bit, 6-bit, 8-bit, 16-bit, GGUF, moe, fr, en, es, it, de, base_model:v2ray/Mixtral-8x22B-v0.1, base_model:quantized:v2ray/Mixtral-8x22B-v0.1, license:apache-2.0, autotrain_compatible, region:us"
Sakura-14B-Qwen2.5-v1.0-GGUF,74,6618,"gguf, license:cc-by-nc-sa-4.0, endpoints_compatible, region:us, conversational"
cognitivecomputations_Dolphin3.0-R1-Mistral-24B-GGUF,74,13159,"gguf, text-generation, en, dataset:cognitivecomputations/dolphin-r1, dataset:OpenCoder-LLM/opc-sft-stage1, dataset:OpenCoder-LLM/opc-sft-stage2, dataset:microsoft/orca-agentinstruct-1M-v1, dataset:microsoft/orca-math-word-problems-200k, dataset:NousResearch/hermes-function-calling-v1, dataset:AI-MO/NuminaMath-CoT, dataset:AI-MO/NuminaMath-TIR, dataset:allenai/tulu-3-sft-mixture, dataset:cognitivecomputations/dolphin-coder, dataset:HuggingFaceTB/smoltalk, dataset:cognitivecomputations/samantha-data, dataset:m-a-p/CodeFeedback-Filtered-Instruction, dataset:m-a-p/Code-Feedback, base_model:cognitivecomputations/Dolphin3.0-R1-Mistral-24B, base_model:quantized:cognitivecomputations/Dolphin3.0-R1-Mistral-24B, endpoints_compatible, region:us, imatrix, conversational"
Nous-Hermes-2-Mistral-7B-DPO-GGUF,73,20012,"gguf, Mistral, instruct, finetune, chatml, DPO, RLHF, gpt4, synthetic data, distillation, en, dataset:teknium/OpenHermes-2.5, base_model:mistralai/Mistral-7B-v0.1, base_model:quantized:mistralai/Mistral-7B-v0.1, license:apache-2.0, endpoints_compatible, region:us, conversational"
TAIDE-LX-7B-Chat-4bit,73,39,"gguf, license:other, endpoints_compatible, region:us, conversational"
LLaMA3-iterative-DPO-final-GGUF,73,618,"gguf, text-generation, base_model:RLHFlow/LLaMA3-iterative-DPO-final, base_model:quantized:RLHFlow/LLaMA3-iterative-DPO-final, license:llama3, endpoints_compatible, region:us, conversational"
llama-3-chinese-8b-instruct-v3-gguf,73,194346,"gguf, zh, en, base_model:hfl/llama-3-chinese-8b-instruct-v3, base_model:quantized:hfl/llama-3-chinese-8b-instruct-v3, license:apache-2.0, endpoints_compatible, region:us, conversational"
Yi-34B-Chat-GGUF,72,1713,"transformers, gguf, yi, text-generation, base_model:01-ai/Yi-34B-Chat, base_model:quantized:01-ai/Yi-34B-Chat, license:other, region:us, conversational"
Kunoichi-DPO-v2-7B-GGUF,72,1445,"gguf, text-generation, en, base_model:SanjiWatsuki/Kunoichi-DPO-v2-7B, base_model:quantized:SanjiWatsuki/Kunoichi-DPO-v2-7B, license:cc-by-nc-4.0, region:us"
dolphin-2_6-phi-2-GGUF,71,1742,"transformers, gguf, phi-msft, en, dataset:ehartford/dolphin, dataset:jondurbin/airoboros-2.2.1, dataset:ehartford/dolphin-coder, dataset:teknium/openhermes, dataset:ise-uiuc/Magicoder-OSS-Instruct-75K, dataset:ise-uiuc/Magicoder-Evol-Instruct-110K, dataset:LDJnr/Capybara, base_model:cognitivecomputations/dolphin-2_6-phi-2, base_model:quantized:cognitivecomputations/dolphin-2_6-phi-2, license:other, region:us, conversational"
NSFW_13B_sft-GGUF,71,3868,"gguf, baichuan, not-for-all-audiences, text-generation, zh, dataset:zxbsmk/instruct_short_novel, base_model:zxbsmk/NSFW_13B_sft, base_model:quantized:zxbsmk/NSFW_13B_sft, license:apache-2.0, region:us"
EEVE-Korean-Instruct-10.8B-v1.0-GGUF,71,464,"gguf, endpoints_compatible, region:us"
Llama-3-8B-Instruct-Gradient-1048k-GGUF,71,2026,"gguf, endpoints_compatible, region:us, conversational"
MIstral-QUantized-70b_Miqu-1-70b-iMat.GGUF,70,1156,"gguf, endpoints_compatible, region:us, conversational"
Llama-3-Lumimaid-8B-v0.1-OAS-GGUF-IQ-Imatrix,70,4187,"gguf, roleplay, llama3, sillytavern, license:cc-by-nc-4.0, endpoints_compatible, region:us"
L3-Stheno-Maid-Blackroot-Grand-HORROR-16B-GGUF,70,7810,"gguf, creative, creative writing, fiction writing, plot generation, sub-plot generation, story generation, scene continue, storytelling, fiction story, story, writing, fiction, roleplaying, swearing, extreme swearing, rp, graphic horror, horror, nsfw, llama3, llama-3, not-for-all-audiences, mergekit, text-generation, en, base_model:DavidAU/Llama-3-Stheno-Maid-Blackroot-Grand-HORROR-16B, base_model:quantized:DavidAU/Llama-3-Stheno-Maid-Blackroot-Grand-HORROR-16B, license:apache-2.0, endpoints_compatible, region:us, conversational"
Big-Tiger-Gemma-27B-v1-GGUF,70,1718,"gguf, endpoints_compatible, region:us, conversational"
dolphin-2.9.4-llama3.1-8b-gguf,70,1337,"gguf, generated_from_trainer, dataset:cognitivecomputations/Dolphin-2.9, dataset:m-a-p/CodeFeedback-Filtered-Instruction, dataset:cognitivecomputations/dolphin-coder, dataset:cognitivecomputations/samantha-data, dataset:microsoft/orca-math-word-problems-200k, dataset:mlabonne/FineTome-100k, dataset:arcee/agent_data, dataset:PawanKrd/math-gpt-4o-200k, dataset:cognitivecomputations/SystemChat-2.0, base_model:meta-llama/Llama-3.1-8B, base_model:quantized:meta-llama/Llama-3.1-8B, license:llama3.1, endpoints_compatible, region:us, conversational"
ltxv-13b-0.9.7-dev-GGUF,70,20112,"gguf, ltx-video, text-to-video, image-to-video, en, base_model:Lightricks/LTX-Video, base_model:quantized:Lightricks/LTX-Video, license:other, region:us"
obsidian-3b-multimodal-q6-gguf,69,442,"gguf, license:mit, endpoints_compatible, region:us"
Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF,69,2935,"gguf, Mixtral, instruct, finetune, chatml, DPO, RLHF, gpt4, synthetic data, distillation, en, dataset:teknium/OpenHermes-2.5, base_model:mistralai/Mixtral-8x7B-v0.1, base_model:quantized:mistralai/Mixtral-8x7B-v0.1, license:apache-2.0, endpoints_compatible, region:us, conversational"
nomic-embed-text-v1.5-GGUF,69,11721,"gguf, feature-extraction, sentence-similarity, en, base_model:nomic-ai/nomic-embed-text-v1.5, base_model:quantized:nomic-ai/nomic-embed-text-v1.5, license:apache-2.0, region:us"
Qwen2.5-Coder-32B-Instruct-128K-GGUF,69,2203,"transformers, gguf, qwen2, unsloth, code, qwen, qwen-coder, codeqwen, en, arxiv:2409.12186, arxiv:2407.10671, base_model:Qwen/Qwen2.5-Coder-32B-Instruct, base_model:quantized:Qwen/Qwen2.5-Coder-32B-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
Llama-3.3-70B-Instruct-GGUF,69,20141,"transformers, gguf, llama, text-generation, llama-3, meta, facebook, unsloth, pytorch, en, arxiv:2204.05149, base_model:meta-llama/Llama-3.3-70B-Instruct, base_model:quantized:meta-llama/Llama-3.3-70B-Instruct, license:llama3.3, autotrain_compatible, endpoints_compatible, region:us, imatrix, conversational"
Mythalion-13B-GGUF,68,2534,"transformers, gguf, llama, text generation, instruct, text-generation, en, dataset:PygmalionAI/PIPPA, dataset:Open-Orca/OpenOrca, dataset:Norquinal/claude_multiround_chat_30k, dataset:jondurbin/airoboros-gpt4-1.4.1, dataset:databricks/databricks-dolly-15k, base_model:PygmalionAI/mythalion-13b, base_model:quantized:PygmalionAI/mythalion-13b, license:llama2, region:us"
llama-3-Korean-Bllossom-8B-gguf-Q4_K_M,68,1324,"transformers, gguf, llama-cpp, gguf-my-repo, en, ko, arxiv:2403.10882, arxiv:2403.11399, base_model:MLP-KTLim/llama-3-Korean-Bllossom-8B, base_model:quantized:MLP-KTLim/llama-3-Korean-Bllossom-8B, license:llama3, endpoints_compatible, region:us, conversational"
Qwen2.5-7B-Instruct-GGUF,68,18386,"gguf, chat, text-generation, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-7B-Instruct, base_model:quantized:Qwen/Qwen2.5-7B-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
PatientSeek,68,46,"gguf, question-answering, en, base_model:unsloth/DeepSeek-R1-Distill-Llama-8B-GGUF, base_model:quantized:unsloth/DeepSeek-R1-Distill-Llama-8B-GGUF, endpoints_compatible, region:us, conversational"
Qwen1.5-7B-Chat-GGUF,67,3211,"gguf, chat, text-generation, en, arxiv:2309.16609, license:other, endpoints_compatible, region:us, conversational"
Phi-3-mini-128k-instruct-GGUF-Imatrix-smashed,67,5244,"gguf, pruna-ai, endpoints_compatible, region:us, conversational"
Llama-2-13B-GGUF,66,2588,"transformers, gguf, llama, facebook, meta, pytorch, llama-2, text-generation, en, arxiv:2307.09288, base_model:meta-llama/Llama-2-13b-hf, base_model:quantized:meta-llama/Llama-2-13b-hf, license:llama2, region:us"
Orion-14B-Chat,66,5568,"transformers, pytorch, gguf, orion, text-generation, code, model, llm, conversational, custom_code, en, zh, ja, ko, autotrain_compatible, endpoints_compatible, region:us"
Qwen1.5-14B-Chat-GGUF,66,1537,"gguf, chat, text-generation, en, arxiv:2309.16609, license:other, endpoints_compatible, region:us, conversational"
Grok-1-GGUF,66,21624,"transformers, gguf, grok, license:apache-2.0, endpoints_compatible, region:us"
Qwen2-0.5B-Instruct-GGUF,66,7305,"gguf, instruct, chat, text-generation, en, base_model:Qwen/Qwen2-0.5B-Instruct, base_model:quantized:Qwen/Qwen2-0.5B-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
Mistral-Nemo-Instruct-2407-GGUF,66,3308,"transformers, gguf, mistral, text-generation, en, fr, de, es, it, pt, ru, zh, ja, base_model:mistralai/Mistral-Nemo-Instruct-2407, base_model:quantized:mistralai/Mistral-Nemo-Instruct-2407, license:apache-2.0, autotrain_compatible, region:us, conversational"
Qwen2.5-Coder-14B-Instruct-GGUF,66,16192,"transformers, gguf, code, codeqwen, chat, qwen, qwen-coder, text-generation, en, arxiv:2409.12186, arxiv:2407.10671, base_model:Qwen/Qwen2.5-Coder-14B-Instruct, base_model:quantized:Qwen/Qwen2.5-Coder-14B-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
DeepSeek-R1-Distill-Qwen-32B-Uncensored-GGUF,66,2508,"transformers, gguf, generated_from_trainer, en, dataset:Guilherme34/uncensor, base_model:nicoboss/DeepSeek-R1-Distill-Qwen-32B-Uncensored, base_model:quantized:nicoboss/DeepSeek-R1-Distill-Qwen-32B-Uncensored, license:mit, endpoints_compatible, region:us, conversational"
GGUF-Quantization-Script,65,0,"gguf, quantized, text-generation-inference, text-generation, license:cc-by-nc-4.0, region:us"
NeuralDaredevil-8B-abliterated-GGUF,65,4130,"gguf, dpo, text-generation, dataset:mlabonne/orpo-dpo-mix-40k, base_model:mlabonne/NeuralDaredevil-8B-abliterated, base_model:quantized:mlabonne/NeuralDaredevil-8B-abliterated, license:other, model-index, endpoints_compatible, region:us"
Phi-3.5-mini-instruct-GGUF,65,11640,"transformers, gguf, nlp, code, text-generation, multilingual, base_model:microsoft/Phi-3.5-mini-instruct, base_model:quantized:microsoft/Phi-3.5-mini-instruct, license:mit, endpoints_compatible, region:us, conversational"
L3.2-Rogue-Creative-Instruct-Uncensored-Abliterated-7B-GGUF,65,20447,"gguf, creative, Uncensored, Abliterated, creative writing, fiction writing, plot generation, sub-plot generation, story generation, scene continue, storytelling, fiction story, science fiction, romance, all genres, story, llama-3, llama3, llama-3.2, writing, vivid prosing, vivid writing, fiction, roleplaying, bfloat16, brainstorm 40x, swearing, rp, 128k context, horror, llama 3.2, mergekit, text-generation, en, base_model:DavidAU/L3.2-Rogue-Creative-Instruct-Uncensored-Abliterated-7B, base_model:quantized:DavidAU/L3.2-Rogue-Creative-Instruct-Uncensored-Abliterated-7B, license:apache-2.0, endpoints_compatible, region:us, conversational"
Qwen3-32B-GGUF,65,46340,"transformers, gguf, qwen3, text-generation, qwen, unsloth, en, arxiv:2309.00071, base_model:Qwen/Qwen3-32B, base_model:quantized:Qwen/Qwen3-32B, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us, imatrix, conversational"
WizardLM-1.0-Uncensored-Llama2-13B-GGUF,64,5335,"transformers, gguf, llama, en, dataset:ehartford/WizardLM_evol_instruct_V2_196k_unfiltered_merged_split, base_model:cognitivecomputations/WizardLM-1.0-Uncensored-Llama2-13b, base_model:quantized:cognitivecomputations/WizardLM-1.0-Uncensored-Llama2-13b, license:llama2, region:us"
Qwen1.5-72B-Chat-GGUF,64,124,"gguf, chat, text-generation, en, arxiv:2309.16609, license:other, endpoints_compatible, region:us, conversational"
DanTagGen-beta,64,8175,"transformers, safetensors, gguf, llama, text-generation, not-for-all-audiences, art, en, dataset:KBlueLeaf/danbooru2023-sqlite, license:openrail, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
Rocinante-12B-v1.1-GGUF,64,2169,"gguf, license:other, endpoints_compatible, region:us"
L3-DARKEST-PLANET-16.5B-GGUF,64,2680,"gguf, creative, creative writing, fiction writing, plot generation, sub-plot generation, story generation, scene continue, llama-3, storytelling, fiction story, science fiction, romance, all genres, story, writing, vivid prosing, vivid writing, fiction, roleplaying, bfloat16, brainstorm 40x, swearing, rp, horror, llama3, mergekit, text-generation, en, arxiv:2401.02415, base_model:DavidAU/L3-DARKEST-PLANET-16.5B, base_model:quantized:DavidAU/L3-DARKEST-PLANET-16.5B, license:apache-2.0, endpoints_compatible, region:us, conversational"
Orca-2-13B-GGUF,63,1068,"transformers, gguf, llama, orca, orca2, microsoft, text-generation, arxiv:2311.11045, base_model:microsoft/Orca-2-13b, base_model:quantized:microsoft/Orca-2-13b, license:other, region:us"
Sakura-GalTransl-7B-v3.5,63,27393,"gguf, zh, license:cc-by-nc-sa-4.0, endpoints_compatible, region:us, conversational"
Gemma-2-27B-Chinese-Chat,63,2086,"transformers, safetensors, gguf, gemma2, text-generation, llama-factory, orpo, conversational, en, zh, arxiv:2403.07691, base_model:google/gemma-2-27b-it, base_model:quantized:google/gemma-2-27b-it, doi:10.57967/hf/2673, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
Meta-Llama-3.1-70B-Instruct-GGUF,63,2960,"transformers, gguf, facebook, meta, pytorch, llama, llama-3, text-generation, en, de, fr, it, pt, hi, es, th, base_model:meta-llama/Llama-3.1-70B-Instruct, base_model:quantized:meta-llama/Llama-3.1-70B-Instruct, license:llama3.1, endpoints_compatible, region:us, imatrix, conversational"
hunyuan-gguf,63,1096,"gguf, hunyuan, gguf-comfy, text-to-video, en, base_model:Comfy-Org/HunyuanVideo_repackaged, base_model:quantized:Comfy-Org/HunyuanVideo_repackaged, doi:10.57967/hf/3849, license:other, region:us"
claude-3.7-sonnet-reasoning-gemma3-12B,63,11583,"transformers, gguf, text-generation-inference, unsloth, gemma3, en, dataset:reedmayhew/claude-3.7-sonnet-reasoning, base_model:unsloth/gemma-3-12b-it-unsloth-bnb-4bit, base_model:quantized:unsloth/gemma-3-12b-it-unsloth-bnb-4bit, license:apache-2.0, endpoints_compatible, region:us, conversational"
dolphin-2.0-mistral-7B-GGUF,62,3627,"transformers, gguf, mistral, en, dataset:ehartford/dolphin, dataset:jondurbin/airoboros-2.2.1, base_model:cognitivecomputations/dolphin-2.0-mistral-7b, base_model:quantized:cognitivecomputations/dolphin-2.0-mistral-7b, license:apache-2.0, region:us"
Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF,62,4935,"transformers, gguf, mixtral, Mixtral, instruct, finetune, chatml, DPO, RLHF, gpt4, synthetic data, distillation, en, base_model:NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO, base_model:quantized:NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO, license:apache-2.0, region:us, conversational"
DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored-GGUF-IQ-Imatrix-Request,62,3653,"gguf, base_model:aifeifei798/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored, base_model:quantized:aifeifei798/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored, license:unlicense, endpoints_compatible, region:us, conversational"
gemma-2-2b-it-GGUF,62,164409,"transformers, gguf, conversational, text-generation, base_model:google/gemma-2-2b-it, base_model:quantized:google/gemma-2-2b-it, license:gemma, endpoints_compatible, region:us"
gemma-2-2b-it-abliterated-GGUF,62,3258,"gguf, text-generation, en, base_model:IlyaGusev/gemma-2-2b-it-abliterated, base_model:quantized:IlyaGusev/gemma-2-2b-it-abliterated, license:gemma, endpoints_compatible, region:us, conversational"
SuperNova-Medius-GGUF,62,757,"gguf, mergekit, merge, base_model:arcee-ai/SuperNova-Medius, base_model:quantized:arcee-ai/SuperNova-Medius, license:apache-2.0, endpoints_compatible, region:us, conversational"
Llama-3.2-3B-Instruct-uncensored-GGUF,62,16540,"gguf, text-generation, base_model:chuanli11/Llama-3.2-3B-Instruct-uncensored, base_model:quantized:chuanli11/Llama-3.2-3B-Instruct-uncensored, endpoints_compatible, region:us, conversational"
Llama-OuteTTS-1.0-1B-GGUF,62,10945,"outetts, gguf, text-to-speech, en, ar, zh, nl, fr, de, it, ja, ko, lt, ru, es, pt, be, bn, ka, hu, lv, fa, pl, sw, ta, uk, license:cc-by-nc-sa-4.0, endpoints_compatible, region:us, conversational"
CodeLlama-13B-GGUF,61,3808,"transformers, gguf, llama, llama-2, text-generation, code, arxiv:2308.12950, base_model:codellama/CodeLlama-13b-hf, base_model:quantized:codellama/CodeLlama-13b-hf, license:llama2, region:us"
CausalLM-7B-GGUF,61,1412,"transformers, gguf, llama, llama2, qwen, text-generation, en, zh, dataset:JosephusCheung/GuanacoDataset, dataset:Open-Orca/OpenOrca, dataset:stingning/ultrachat, dataset:meta-math/MetaMathQA, dataset:liuhaotian/LLaVA-Instruct-150K, dataset:jondurbin/airoboros-3.1, dataset:WizardLM/WizardLM_evol_instruct_V2_196k, dataset:RyokoAI/ShareGPT52K, dataset:RyokoAI/Fandom23K, dataset:milashkaarshif/MoeGirlPedia_wikitext_raw_archive, dataset:wikipedia, dataset:wiki_lingua, dataset:fnlp/moss-003-sft-data, dataset:garage-bAInd/Open-Platypus, dataset:LDJnr/Puffin, dataset:openbmb/llava_zh, dataset:BAAI/COIG, dataset:TigerResearch/tigerbot-zhihu-zh-10k, dataset:liwu/MNBVC, dataset:teknium/openhermes, base_model:CausalLM/7B, base_model:quantized:CausalLM/7B, license:wtfpl, region:us"
Llama-3-ELYZA-JP-8B-GGUF,61,2661,"transformers, gguf, llama-cpp, ja, en, license:llama3, endpoints_compatible, region:us, conversational"
Qwen2.5-32B-Instruct-GGUF,61,3337,"gguf, chat, text-generation, en, base_model:Qwen/Qwen2.5-32B-Instruct, base_model:quantized:Qwen/Qwen2.5-32B-Instruct, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational"
dragon-yi-6b-v0,60,137,"transformers, pytorch, gguf, Yi, text-generation, custom_code, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us"
gemma-3-1b-it-qat-q4_0-gguf,60,3092,"gguf, gemma, gemma3, text-generation, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-1b-it, base_model:quantized:google/gemma-3-1b-it, license:gemma, endpoints_compatible, region:us, conversational"
google-gemma-3-27b-it-qat-q4_0-gguf-small,60,1824,"gguf, base_model:google/gemma-3-27b-it-qat-q4_0-gguf, base_model:quantized:google/gemma-3-27b-it-qat-q4_0-gguf, license:gemma, endpoints_compatible, region:us, conversational"
WizardCoder-Python-13B-V1.0-GGUF,59,3387,"transformers, gguf, llama, code, arxiv:2304.12244, arxiv:2306.08568, arxiv:2308.09583, arxiv:2303.08774, base_model:WizardLMTeam/WizardCoder-Python-13B-V1.0, base_model:quantized:WizardLMTeam/WizardCoder-Python-13B-V1.0, license:llama2, model-index, region:us"
neural-chat-7B-v3-1-GGUF,59,994,"transformers, gguf, mistral, base_model:Intel/neural-chat-7b-v3-1, base_model:quantized:Intel/neural-chat-7b-v3-1, license:apache-2.0, region:us"
snowflake-arctic-embed-m-v1.5,59,137461,"sentence-transformers, onnx, safetensors, gguf, bert, feature-extraction, sentence-similarity, mteb, arctic, snowflake-arctic-embed, transformers.js, arxiv:2412.04506, arxiv:2407.18887, arxiv:2405.05374, arxiv:2205.13147, license:apache-2.0, model-index, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us"
stable-diffusion-3.5-large-turbo-gguf,59,2317,"gguf, text-to-image, image-generation, stable-diffusion, en, base_model:stabilityai/stable-diffusion-3.5-large-turbo, base_model:quantized:stabilityai/stable-diffusion-3.5-large-turbo, license:other, region:us"
